epoch,loss
0,0.013889661179711075
1,0.005502658622707565
2,0.005037688462482404
3,0.0047705933170089886
4,0.004716231092420775
5,0.004538239238877572
6,0.004486625705477457
7,0.004378384871718784
8,0.004694285172637003
9,0.004431068630123785
10,0.004181232524479833
11,0.004237840573895405
12,0.0040595809199897815
13,0.004015028737521507
14,0.004029269307416814
15,0.004083573397667717
16,0.003969604863294278
17,0.00396676097866581
18,0.003920066034125323
19,0.0038821486442154923
20,0.0038772943554186198
21,0.0038466867449325187
22,0.003691155895727954
23,0.004077690206792986
24,0.0038336474997128626
25,0.003761339477848175
26,0.0036732953713210516
27,0.0036208691181932656
28,0.003542339552894177
29,0.0035041851161206647
